title,description
‘It is a different take on Mahabharat’: Puneet Issar on directing the epic on stage,"Puneet Issar, who plays Duryodhan in BR Chopra’s renowned television show, says his version of the Mahabharat focuses on Karna and Duryodhan"
Making of a spy thriller,"Director Thiru makes his debut in Telugu with the Gopichand-starrer Chanakya, releasing on October 5"
Acting is not an easy thing: Manoj Bajpayee,"As “The Family Man” generates buzz, Manoj Bajpayee opens up on his acting process"
Devadasi influence in Tamil cinema,"The history of the advance of Tamil cinema is intimately linked to members of the Devadasi community who switched from being drama artistes to working in films on the strength of their skills in music and dance, and it gave rise to the song & dance routine th…"
Digital gift card sales leap on Snapdeal,"E-com platform Snapdeal has witnessed a surge in the sale of digital gift cards during this festive season. As compared to last year, there has been a 300% increase in the sale of these gifting option"
It’s ‘Cinema Paradiso’ at National Institute of Technology - Tiruchi,Festember’19 begins tomorrow
"Stock market update: Nifty Media up 2%; Dish TV, Den Networks surge","The Nifty Media index was trading 1.96 per cent up at 1,755.9"
"After Market: Zee, HDFC AMC and top banks bleed; investors lose Rs 1.43 lakh crore","The 50-share Nifty fell 139 points to 11,174."
Stock market update: Sugar shares fall; Ponni Sugars drops over 7%,"Ponni Sugars, Bannari Amman Sugars and Simbhaoli Sugars were the top losers."
Stock market update: Cement shares decline; Shri Keshav Cements slides 5%,"Shri Keshav Cements, Barak Valley Cements and Andhra Cements were the top losers."
"Stock market update: Nifty Metal falls 3%; Vedanta, Hindalco top drags",The Nifty Metal index was trading 2.8 per cent down at 2329.85 around 01:56 pm
Share market update: NBFC stocks slump; DHFL tanks 20%,"The NSE Nifty50 index was trading 166.65 points down at 11,307.80."
India has South Africa on the mat,Mayank conquers a peak and Rohit does his stuff before the bowlers make inroads
Forgotten flaws of Liverpool: Jurgen Klopp’s defence was made to look ordinary by Salzburg’s terrific attack,"Not on a chastening night for Liverpool’s defence. For the fifth time in Jurgen Klopp’s reign, they won 4-3. For only the second since February 2018."
Battle of Buffet 2019 held,"Participants were treated to an enthralling entertainment programme and sumptous food at the Battle of Buffet, 2019, held in the city on Wednesday. The Battle of Buffet is an annual fundraising event"
Danish Khan to head SPN’s OTT service SonyLIV,The new role is in addition to Khan’s existing responsibility of Sony Entertainment Television and Studio NEXT.
Enhancing The Security Footprint,"The demands on an enterprise’s IT department have never been tougher. As corporates aggressively move towards enhancing employee mobility, enabling remote network access, and sharing sensitive data over the internet, business risks are witnessing a sharp spik…"
Stock market update: 82 stocks hit 52-week lows on NSE,Among the stocks that touched their 52-week lows were Grasim Industries and Indiabulls Real Estate.
Stock market update: 150 stocks hit 52-week lows on NSE,Among the stocks that touched their 52-week lows were Piramal Enterprises and Edelweiss Financial Services.
Stock market update: Sugar stocks edge higher; Mawana Sugars jumps over 6%,"Mawana Sugars, Triveni Engineering & Industries and Dhampur Sugar Mills were the top gainers."
Stock market update: Cement shares decline; Shri Keshav Cement drops 5%,"Shri Keshav Cements, Andhra Cements and Star Cement were the top losers."
Share market update: Media shares slip; Eros International falls 5%,The Nifty Media index was trading 0.28 per cent down at 1794.95 around 11:56 am.
Stock market update: Most IT stocks trade higher; HCL Tech up nearly 3%,The Nifty IT was trading 0.56 per cent up at 15385.45
Stock market update: Bank shares climb; IndusInd Bank jumps over 2%,"The Nifty Bank index was trading 0.56 per cent up at 28,573.7 around 09:55 am."
Stock market update: Auto stocks gain; Apollo Tyres rises 2%,"The Nifty Auto index was trading 0.43 per cent up at 7,525.9."
Stock market update: Infra shares slump; Engineers India dips over 2%,"The Nifty Infrastructure index was trading 0.25 per cent up at 3,172.2."
Stock market update: Most IT stocks trade higher; HCL Tech up nearly 3%,The Nifty IT was trading 0.56 per cent up at 15385.45
"Sensex gains 250 points, Nifty nears 11,400 ahead of RBI policy outcome",The Reserve Bank of India is set to deliver a fifth straight interest rate cut Friday.
"Buzzing stocks: YES Bank, Vodafone Idea, SBI, Tata Motors, IndusInd Bank",YES Bank (Rs 1311.47 crore) was leading the pack of the most active stocks in value terms.
"Buzzing stocks: YES Bank, Vodafone Idea, BPCL, SBI, HDFC Bank",YES Bank (Rs 167.23 crore) was leading the pack of most active stocks in value terms.
Share market update: Fertilizer stocks down; Aries Agro falls 5%,"The NSE Nifty50 index was trading 197.40 points down at 11,277.05."
Largecap stocks may have just started a rally that will last years,The rate cut lifted investor sentiment and triggered short covering in the oversold stocks.
"Stocks in the news: YES Bank, HDIL, Manpasand Beverages, Adani Green and NMDC",The company has filed police complaint regarding hostile takeover.
"Stocks in the news: YES Bank, Tata Comm, NBCC, DHFL and Cadila Healthcare",State-owned construction firm NBCC has bagged a Rs 400-crore contract .
"Allyson Felix, The Woman Who Broke Usain Bolt's Record","Indiatimes Mobile brings you the news, articles, stories and videos on entertainment, latest lifestyle, culture & new technologies emerging worldwide"
Annu Rani: India’s New Hope In Javelin,"Indiatimes Mobile brings you the news, articles, stories and videos on entertainment, latest lifestyle, culture & new technologies emerging worldwide"
"No Season 3 Of Fleabag, PC Talks About Directing Films And Other Top Entertainment Stories","The show was loved by everyone and the performances were so stunning that during this year’s Emmy Awards, Waller-Bridge took home the awards for best writing for a comedy series and best actress for Fleabag.Talking about directing movies some day, Priyanka sa…"
Dwayne 'The Rock' Johnson Is All Set To Return To 'WWE Smackdown' For Fox Debut!,Here is a happy news for all Rock fans! Hollywood star Dwayne Johnson aka The Rock is taking a trip back to WWE. The 47-year-old actor has announced that he will be returning to the entertainment sport for the debut of WWE Smackdown on Fox TV on Friday.
Want To Be A Boxer? These 10 Exercises Will Get Into The Right Shape Before Entering The Ring,"Boxing is one of the most violent and brutal sports one can watch. It's not always pleasing visually and can lead to serious injury or even death. Two people taking shots at each other in the ring may not be appealing to everyone, but it is a source of entert…"
Aishwarya Rai To Lend Her Voice In Angelina Jolie's Maleficent: Mistress Of Evil’s Hindi Version,"We are damn excited for this, Aishwarya Rai Bachchan who loves to experiments with her films and looks is all set to take up another challenge by voicing Maleficent in  Maleficent : Mistress Of Evil’s Hindi Version. The promo of Ash is already out and she is …"
Costa Victoria Cruise Mumbai Maldives,"Planning something this weekend? You can be aboard Costa Victoria, which will run between Mumbai and Kochi from November to March 2020. The itenary of the cruise includes three nights from Kochi to Maldives or seven nights from Maldives to Mumbai. Costa Victo…"
"After 2 Successful Seasons Of Fleabag, Phoebe Waller-Bridge Will Do Season 3 When She Turns 50","Ever since the hit comedy-drama wrapped up its second season in April, creator and star Waller-Bridge insisted that there would not be a third season, reported E! News. But in the wake of the show’s big wins at the 2019 Emmy Awards this month, Waller-Bridge h…"
9 Reasons Why We Love Watching Bigg Boss & It Will Always Remain Our Biggest Guilty Pleasure!,"How many of you have watched at least one episode of Bigg Boss ever? *Counting hand* Okay! Almost everyone! Bigg Boss has two kinds of audiences – one who hates the show and judges those who watch it and second, the ones who never admits but enjoys watching a…"
Two Women Accuse Actor James Franco Of Sexual Exploitation And Running Bogus Acting School,"Two women filed a civil lawsuit against Hollywood actor James Franco on Thursday, accusing him of running a bogus film school where young women eager to advance their acting careers were duped into auditioning nude or shooting explicit sex scenes. The lawsuit…"
"Meet Rinku Singh, The Son Of A Truck Driver From UP Who Is Making Waves In The WWE","Coming from a small village of Bhadohi in Uttar Pradesh, Rinku Singh's story from rags to riches is compelling, inspiring and a true testament of hard work paying dividends. A truck driver's son, who had to toil really hard and push the limits is now making w…"
Y Combinator Top Companies List 2019,Article URL: https://www.ycombinator.com/topcompanies/ Comments URL: https://news.ycombinator.com/item?id=21136663 Points: 7 # Comments: 2
Difficult compromise: On Austria's snap election,"In Austria, the conservatives will have to seek common ground with political rivals"
Key takeaways from RBI's policy meet,India Business News: The Reserve Bank of India (RBI) is currently on a rate cutting spree as the central bank has reduced the repo rate -- the rate at which it lends to ba
'Soft coup against Imran': Pak army chief holds meetings to fix economy,"Pakistan’s already powerful military is taking an even greater role in running the country as the economy stumbles. Army chief Qamar Javed Bajwa has privately met top business leaders to find ways to bolster the economy, according to people familiar with the …"
#MumbaiMirrored: Unassuming heroes,"For more than a century, Davar’s College of Commerce and Secretarial Studies and Practices at Fort has been an affirmative force behind the empowerment of Mumbai’s women."
Quick Edit: Patna floods must alarm all Indian cities,"The viral photograph of Bihar deputy chief minister Sushil Kumar Modi, clad in shorts, surrounded by bag and baggage,  after his family was rescued on an inflatable lifeboat following flooding in Patna sums up the..."
"Rise and fall of HDIL's promoters, once toast of Mumbai party circuit",The father-son duo of Rakesh and Sarang (Sunny) Wadhawan were among the most powerful and politically connected builders during the Congress-NCP rule. Their fortunes rose around the time the property market was beginning to heat up in 2003.
"After HDIL promoters, ex-MD of PMC Bank arrested","Joy Thomas, the suspended managing director of Punjab and Maharashtra Cooperative (PMC) Bank, was arrested in the Rs 4,355-crore cheating case involving the bank on Friday. PMC Bank was placed under restrictions by the RBI on September 25 after it emerged tha…"
"Banks, NBFCs pull down market, sensex down 362pts","The day’s slide in banking and NBFC stocks started after market players got a hint that Rana Kapoor, the main promoter of troubled lender Yes Bank sold a large chunk in the open market. This was aggravated by social media posts about failed online transaction…"
US: Kidnapped Indian-American techie found dead,US & Canada News News: WASHINGTON: A tech executive of Indian-origin was kidnapped from his home on the Pacific Ocean front in California on Tuesday and was found dead hours.
‘Boeing 737 Max safety ignored’,"It is unclear what, if any, assessment investigators have made of the complaint. The complaint, filed after the two crashes, builds on concerns about Boeing’s corporate culture, as the company tries to repair its reputation and get the planes flying again."
$63bn of zombie buildings sound warning for banks,"There are $63 billion of stalled residential projects across the country, according to Anarock Property Consultants, and their developers have become locked in a downward spiral with shadow banks. As lenders stop new credit, builders are forced to offload pro…"
"NLCIL, Anna University team up for incubation centre",Initiative to help develop core business activities of NLCIL
CM unveils plaque for construction of govt. medical college at Eluru,It will be built at a cost of ₹266 cr.; classes may start from next academic year
"Kodiyeri, Kappan accused of financial intrigue",Shibu alleges corruption in sale of shares in Kannur International Airport Limited
Death toll in Bihar floods soars to 73,Many areas remain inundated after a week
"Massive traffic jams in Srinagar, some shops open in morning hours","Kashmir Valley showed some signs of normalcy on Thursday, with massive traffic jams witnessed in summer capital Srinagar and some shops opening in the city in the morning hours. However, the governmen"
Fake news more dangerous than paid news: I&B Minister Javadekar,"Fake news is more dangerous than paid news and there is need for the government and the media to combat it jointly, Information and Broadcasting Minister Prakash Javadekar said on Thursday. The govern"
Entire neighbourhood ‘minus one’ has been a good story: Jaishankar,"‘In India, nationalism is not a negative sentiment directed at the world’"
US unemployment falls to 50-year low of 3.5% in September,"Employers added a total of 136,000 net new positions"
Anger mounts in Hong Kong after teen shot at,Office workers and high-school students took to the streets in protest against the police action
UK economy headed for recession after services shrink unexpectedly: PMI,"Britain&#39;s economy appears to have tipped into recession as firms brace for the risk of a disruptive Brexit in just a few weeks&#39; time, according to a survey which showed the dominant services s"
Morning Podcast: Let's talk business & markets,"Tune in now! Your daily digest of market news, views and cues."
"NSA gets teeth, NSCS put in govt business rules","NSA gets teeth, NSCS put in govt business rulesNSCS enumerated right after NITI at number 50 in the first schedule of the AOB rules."
Podcast: What might shake & move your market,Tune in now for your daily dose of business news.
Ashok Leyland domestic sales dip 57% in Sept,Ashok Leyland domestic sales dip 57% in SeptAshok Leyland said in its release that its domestic business in terms of volumes dropped 57% to 7851 units.
Vehicle scrapping draft norms to be out this month,"“The guidelines will ensure details of the scrapped vehicles are linked with VAHAN (transport ministry vehicle database),"" said the official, “This will ensure ease of doing business.”"
New merged banks to copy SBI model,"“We intend to finalise all these administrative strategies in the next six months so that the merged entity can focus on business from the very beginning,” Pradhan told ET."
Should depositors worry about co-operative banks?,"The crisis at Mumbai-based PMC Bank has again brought co-operative banks into the limelight. ET demystifies the cooperative bank business in India, where these banks have a disproportionate presence among the unbanked and the under-banked"
Favourable conditions exist to achieve $5 trillion economy target: Official,"All right conditions exist with a strong policy driven government both at the centre and states, DPIIT Secretary Guruprasad Mohapatra said."
"Don't panic, Indian banks are safe: RBI governor","Don't panic, Indian banks are safe: RBI governorAppealing depositors to not worry, RBI governor said it wont allow any co-operative bank to collapse."
India's services sector slips to a 19-month low in September: PMI,Friday's survey adds to the deepening gloom around businesses and consumers.
Religare to sell NBFC arm to TCG Advisory for Rs 330 crore,The funds will be utilised to repay the outstanding loans to group companies.
Pakistan’s army chief holds private meetings to shore up economy,"The military, which has staged numerous coups since Pakistan’s founding in 1947, has seen a direct impact from the economic slowdown."
Are streaming services killing multiplexes?,"Are streaming services killing multiplexes?While some see OTT as a substitute, it is equally true that OTT is also driving people to the multiplexes."
India now has an enlarged global profile: WEF prez,"India now has an enlarged global profile: WEF prezSteered by a ""decisive leadership"", Brende said, India is ""rising to the occasion"" through a significantly enlarged global profile."
Gas price cut credit negative for ONGC: Moody's,"On Sept 30, the government announced a 12.5% reduction in domestic natural gas price to USD 3.23 mmBtu."
Edelweiss real estate exposure only 20%: Rashesh Shah,"I am more optimistic now than maybe I was three months ago, says Edelweiss chairman."
IRCTC IPO subscribed 15 times so far on Day 3,"IRCTC has set IPO has a price band of Rs 315-320 per share. At the upper price band, the stock is available at P/E multiple of 18.8 times to its FY19 EPS of Rs 17."
Worry about getting money to people who need it,Corporate tax cut benefit has gone to wrong companies. They are not going to invest in this country.
RBI set to cut rates again as fiscal measures fail to cheer,Most analysts forecast one more cut of 15 bps in December.
"Amid PMC crisis, RBI says Indian banking system stable","RBI would like to assure the general public that Indian banking system is safe and stable and there is no need to panic on the basis of such rumours,"" the RBI said in a tweet."
"Hirings should revive in a month, says Teamlease CFO",More than 40-45 years of slack has led to the current levels of skilling in our country.
China to host Khan on October 8 ahead of Xi’s India visit,The timing of Khan’s visit can cast a shadow over Xi Jinping’s visit to India.
Future Consumer hits 52-week low after downgrade,The stock ended down 2 per cent at Rs 25.3 after hitting a 52-week low of Rs 23.6 intraday.
Stock market shut on account of Gandhi Jayanti,"On Tuesday, the 30-share Sensex slipped 362 points or 0.94 per cent to end at 38,305."
Fed 'open' to rate cut as risks to outlook rise,US stocks also rose Thursday on expectations of further Fed rate cuts.
"Samsung claims 72% premium market share in August; launches India’s costliest phone, Galaxy Fold","Korean handset maker Samsung has launched the world’s first foldable smartphone, Galaxy Fold in India at Rs 1,64,999."
Corporate tax cuts only will not stimulate private capex: Ind-Ra,The Ind-Ra report provides a sector-wise break-up of the tax savings accruing on account of the tax cut.
Cognizant CEO Brian Humphries wants bellwether tag back,"Tech firm will make strategic bets in sectors like Cloud, digital engineering, data and IoT."
"Corporate tax cut to help top 1000 firms to save Rs 65,000 crore","Top 1,000 listed entities will save up to Rs 65,000 crore which will include Rs 9,000 crore savings to banks and Rs 6,000 crore to the struggling non-banks."
Gold rises as US data fuels slowdown worries,"US gold futures were down 0.1 per cent at $1,506.4 an ounce."
Air India launches 'Namaskar Sewa' at Delhi airport,Air India launches 'Namaskar Sewa' at Delhi airport'Namaskar Sewa' is a meet and greets service wherein Air India staff will take care of passengers from the airport entry gate to till being passengers board in the aircraft.
"Next 5 yrs, I would buy both gold and equities: Jhunjhunwala","Low interest regime is extremely bullish for gold. I see gold prices at $2,500-3,000."
"US Fed charts its own course on climate change, too",Climate change research hasn't previously been a major focus at the Fed.
No onions in B'desh PM's kitchen after export ban,No onions in B'desh PM's kitchen after export banThe Bangladeshi prime minister said that India's sudden decision to stop onion exports has lead to a bit of difficulty for her countrymen.
Markets plunge sharply: RBI and other factors that led to it,Markets plunge sharply: RBI and other factors that led to itRBI slashed FY20 GDP growth forecast sharply to 6.1 per cent from 6.9 per cent.
The Skeptic: Review NBFC asset quality to build confidence,Banks and mutual funds suddenly woke up to the risks of lending to these companies.
"Research, innovation to help country achieve 5 trillion economy: Prez","Addressing the convocation of prestigious IIT-Roorkee, President Ram Nath Kovind termed the institute an ""innovation hub"""
Gold gains on soft US service sector data,Gold is considered a safe store of value during economic and political uncertainty.
Lodha developing Rs 13K cr commercial assets; may launch REIT,"The Mumbai-based developer has completed 2 million sq ft office space valuing Rs 2,000 crore. It recently sold office properties worth Rs 1,350 crore."
Why Pashupati Advani is betting on power PSUs,We like the ones in power sector like Power Grid and PTC and REC among others
"Demand to pick up, H2 will be good: Ramesh Iyer",Our deeper penetration and multi-product approach help us grow.
Festive season fails to lift passenger vehicle sales,"Festive season fails to lift passenger vehicle salesThe country's largest carmaker Maruti Suzuki India said its domestic sales declined by 26.7 per cent at 1,12,500 units last month as against 1,53,550 units in September 2018."
"RBI cuts repo rate for the fifth time, slashes growth estimates","RBI cuts repo rate for the fifth time, slashes growth estimatesIt was in addition to a cumulative 110 bps rate cut that RBI has announced so far this year."
Lakshmi Vilas Bank swap ratio not to change,"According to the swap ratio, LVB shareholders will receive 14 shares of Indiabulls Housing for 100 shares in LVB."
YES Bank gains 33% after CEO dispels concerns,Gill took analyst questions and repeated that the bank is on recovery mode.
We want up to 10% of Syngenta revenue to come from India: CEO J Erik Fyrwald,"Fyrwald, who was at Eluru to inaugurate a facility for product testing and development, said India is a critical market for Syngenta."
India-US trade deal will happen 'pretty quickly': US,"""We do think that there is no structural reason why there can't be one pretty quickly. We know each other's issues,"" US Secretary of Commerce Wilbur Ross s"
S Jaishankar visits 7 thinktanks in 7 days,"S Jaishankar visits 7 thinktanks in 7 daysS Jaishankar is jousting with Washington DC’s most prestigious talk shops: Carnegie Endowment for International Peace, Atlantic Council, Center for Strategic & International Studies, The Brookings Institution, and the…"
US factory gauge hits a 10-year low as global slowdown widens,Treasury yields plummeted and US stocks swung to losses on the report.
Why Abhimanyu Sofat is bullish on these 4 stocks,"Even if RBI does cut the rate, transmission is unlikely to happen."
$63 billion of zombie buildings sound warning for Indian banks,There are $63 billion of stalled residential projects across the country.
What changed for Street while you were sleeping,Here is breaking down the pre-market actions.
Pockets of opportunity in financials: Kotak AMC,"It is unfair to say that the entire sector is under severe strain, says the fund manager."
YES Bank to raise capital after prices correct: CEO,"Once the capital is here, we should very comfortably be growing in the 20s."
"Buy largecap banks, be agnostic to valuation: Sridhar Sivaram",In another six months the base effect will start kicking in for revival in consumption demand
PMC Bank crisis: HDIL says loans taken after giving ‘adequate security’ cover,The Mumbai Police on Monday filed a case against the former bank management and promoters of HDIL in the Punjab and Maharashtra Cooperative (PMC) Bank case and said a special investigation team would be probing the case
NTT Inc merges all its tech firms globally,NTT creates a single entity that manages business worth $11bn
"Parle to bring back Rol.a.Cola, eyes ₹100 crore sales in first year","Parle Products, which had discontinued the hard-boiled candy with cola flavour in 2006 during a product rationalisation process, is bringing the brand back based on consumer response on social media."
"Cartoonscape — October 4, 2019","The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More"
"Cartoonscape — October 2, 2019","The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More"
"Cartoonscape — October 3, 2019","The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More"
The brick and mortar of FDI 2.0,‘List or trade in India’ should be used as a strategic policy tool to enable Indians to become shareholders in MNCs
How incubators are disrupting the Indian agri-tech startup landscape - Economic Times,The role of incubators is crucial in the wider business ecosystem in India. They are integral to the shaping up process of the Indian startup network.
Business yet to gain momentum at Gani Market in Erode,‘Various factors have resulted in poor business’
"NLCIL, Anna University team up for incubation centre",Initiative to help develop core business activities of NLCIL
"Markets shut, public transport off roads for 58th consecutive day in Kashmir",Main markets and other business establishments across the valley remained shut.
"Russia extends e-visa for Indians to visit Saint Petersburg, Leningrad Region","Indians will be able to obtain single business, humanitarian and tourist visas in the form of an electronic document."
Imran Khan set to visit China in October,"During the visit, Mr. Khan will attend the China-Pakistan Business Forum in Beijing on October 8"
Popularity of Karungalpalayam’s idlis travels with them,"Workers on long journeys home, business people visiting friends in northern India, weddings and festivals — many buy the humble idli in bulk"
Should restaurants build up chefs as the face of their business?,"You can make or break a restaurant with the name of who is helming the kitchen, but is that really the way to go?"
Sandeep Gulati is new MD of ManpowerGroup in India,"Sandeep Gulati has been named as the new Managing Director, India Operations of ManpowerGroup.Mr. Gulati joined ManpowerGroup from Aegis (Startek), a global business service provider, where he held va"
New U.K. Deputy High Commissioner in Chennai takes charge,"Oliver Ballhatchet MBE has assumed charge as the new Deputy High Commissioner in Chennai, representing the U.K. in Tamil Nadu and Puducherry. An official press release said he succeeded Jeremy Pilmore"
"UTC, T-Hub unveil start-up challenge",To develop new products and services specifically for the aerospace industry
BJP’s Lodha declares assets worth ₹441 cr.,MLA seeks 6th term from Malabar Hill
Tata Motors to drive in Nexon EV in March quarter,"Tata Motors on Thursday said it will launch Nexon EV in the fourth quarter of the current fiscal, with price expected to be in the range of Rs 15-17 lakh. The vehicle will be powered by the company’s"
"Aaditya Thackeray’s BMW is worth ₹6.5 lakh, says his poll affidavit",Shiv Sena leader Aaditya Thackeray on Thursday filed his nomination from the Worli Assembly constituency in Mumbai for the October 21 elections. Flanked by father and Sena president Uddhav Thackeray a
Khashoggi suspects made ‘chilling’ jokes before killing: reports,UN investigator says recordings she had heard from inside the Saudi Arabia’s mission in Turkey referred to the journalist as a ‘sacrificial animal’.
Tata Motors chooses Nexon for its new EV,Vehicle to be priced between ₹15 lakh and ₹17 lakh
No impact of Maoist bandh call in Agency,Police intensify combing operation in sensitive areas
Maha polls: BJP announces names of 125 candidates,"The BJP announced the names of 125 candidates for the upcoming Maharashtra Assembly polls on Tuesday and said it will contest the election in an alliance with the Shiv Sena and some smaller parties. ""The BJP will contest the Maharashtra Assembly election in a…"
"After HDIL promoters, ex-MD of PMC Bank arrested","Joy Thomas, the suspended managing director of Punjab and Maharashtra Cooperative (PMC) Bank, was arrested in the Rs 4,355-crore cheating case involving the bank on Friday. PMC Bank was placed under restrictions by the RBI on September 25 after it emerged tha…"
Breath tests of aviation personnel to start tomorrow,"Several airports across India and domestic airlines will start conducting breath analyser (BA) tests on personnel providing key aviation services like air traffic controllers, aircraft maintenance engineers and ground staff from Wednesday, the 150th birth ann…"
'Soft coup against Imran': Pak army chief holds meetings to fix economy,"Pakistan’s already powerful military is taking an even greater role in running the country as the economy stumbles. Army chief Qamar Javed Bajwa has privately met top business leaders to find ways to bolster the economy, according to people familiar with the …"
$63bn of zombie buildings sound warning for banks,"There are $63 billion of stalled residential projects across the country, according to Anarock Property Consultants, and their developers have become locked in a downward spiral with shadow banks. As lenders stop new credit, builders are forced to offload pro…"
BJP launches ‘Sankalp Yatra’ in Coimbatore,Bharatiya Janata Party took out a ‘Sankalp Yatra’ here on Wednesday.Party’s state general secretary Vanathi Srinivasan led the rally that saw the participation of over 500 students highlighting the p
12 candidates in fray in Vikravandi,Irulas in over 30 villages threaten to boycott the bypoll
LIFE: government increases funds for land purchase,Those in Corporation areas to get up to ₹5.25 lakh
Uttarakhand BJP expels 90 workers,Action over anti-party activities
Police constable commits suicide,"A police constable attached to the Tamil Nadu Special Police (TSP) committed suicide by consuming pesticide in his house at Villianallur near Chidambaram on Friday. The police said R. Rajesh Kumar, 27"
43 lakh cases in eight months: DGP,‘No. of bookings for driving without helmet has more than doubled in a year’
"Ramadoss, Vaiko urge Centre to drop hydrocarbon projects",ONGC has submitted proposals for new projects in delta
"NDA may not be able to repeat 2016 show in Aroor, says Vellappally",‘Electorate will not consider caste while voting’
Sri Lanka releases stamp on Mahatma Gandhi,‘Event held to strengthen friendly ties between countries’
HAL unions to go on strike from October 14,Employees of public sector aircraft manufacturer Hindustan Aeronautics Ltd. have served the management a fresh notice of starting an indefinite strike from October 14.Workers’ unions of the company ha
Inquiry ordered against BCM officer,"Following demands from zilla panchayat members, ZP CEO B.C. Satish has ordered a departmental inquiry against Backward Classes and Minorities (BCM) Extension Officer Y.B. Nandi.Mr. Satish announced a"
Students get up close with NASA Mars rover expert,There was an unusual throng of high school students at the Visvesvaraya Industrial and Technological Museum in the city on Friday morning. Some 300 girls and boys from seven schools managed to get up
DGCA to inspect 23 Boeing 737 planes of SpiceJet for possible cracks,"Last week, the U.S. regulator Federal Aviation Authority (FAA) said inspections would be required for certain Boeing 737 NG (New Generation) aircraft after cracks were found in some of them, as per reports"
"Agitation by villagers after death of goat led to loss of ₹2.69 crore, says MCL","Jagannath sidings 1 and 2 were forcibly stopped by villagers, says spokesperson"
"Imran Khan’s UNGA speech was poor, rubbish: Ganguly",The former Indian skipper was replying the Virender Sehwag’s video message
Three die as mini-lorry catches fire,"Driver had stopped the vehicle, which was carrying firecrackers, near Gingee to check the radiator"
"Shah’s comments, U.P. developments cast a shadow on Hasina’s visit",Alarm in Dhaka over comments calling Bangladesh citizens ‘infiltrators’
The unsung heroes of Tirumala Brahmotsavam,"Srivari Sevaks, medical teams and other volunteers reach out to pilgrims during the annual event"
"Poor infra, faculty crunchplague govt. junior colleges",Eswaraiah panel to suggest steps to strengthen Intermediate education
Taliban delegation on its way as U.S. envoy holds talks in Pakistan,‘Zalmay Khalilzad’s visit is not to resume Afghan peace plan’
India hails U.K. verdict on former Nizam,"Court rejects Pakistan claim, says descendants of Osman Ali Khan are entitled to £35 million fund"
"Rs 50,000 fine for immersing idols in Ganga","Rs 50,000 fine for immersing idols in GangaA directive dated September 16, issued by Rajiv Ranjan Mishra, Director General of National Mission for Clean Ganga, said no idol immersion should be allowed in Ganga river and its tributaries."
"Amid PMC crisis, RBI says Indian banking system stable","RBI would like to assure the general public that Indian banking system is safe and stable and there is no need to panic on the basis of such rumours,"" the RBI said in a tweet."
"SC notice to CBI on Chidambaram's bail plea, next hearing on Oct 15",Supreme Court bench of justices R Banumathi and Hrishikesh Roy posted the matter for hearing on October 15.
New merged banks to copy SBI model,"“We intend to finalise all these administrative strategies in the next six months so that the merged entity can focus on business from the very beginning,” Pradhan told ET."
