_id,description,predicted_category,title
5db0aec0f0a9b700adeeb8f9,"As “The Family Man” generates buzz, Manoj Bajpayee opens up on his acting process",health,Acting is not an easy thing: Manoj Bajpayee
5db0aec0f0a9b700adeeb8fa,"The history of the advance of Tamil cinema is intimately linked to members of the Devadasi community who switched from being drama artistes to working in films on the strength of their skills in music and dance, and it gave rise to the song & dance routine th…",entertainment,Devadasi influence in Tamil cinema
5db0aec0f0a9b700adeeb8fb,"E-com platform Snapdeal has witnessed a surge in the sale of digital gift cards during this festive season. As compared to last year, there has been a 300% increase in the sale of these gifting option",business,Digital gift card sales leap on Snapdeal
5db0aec0f0a9b700adeeb8fc,Festember’19 begins tomorrow,health,It’s ‘Cinema Paradiso’ at National Institute of Technology - Tiruchi
5db0aec0f0a9b700adeeb8fd,"The Nifty Media index was trading 1.96 per cent up at 1,755.9",business,"Stock market update: Nifty Media up 2%; Dish TV, Den Networks surge"
5db0aec0f0a9b700adeeb8fe,"The 50-share Nifty fell 139 points to 11,174.",business,"After Market: Zee, HDFC AMC and top banks bleed; investors lose Rs 1.43 lakh crore"
5db0aec0f0a9b700adeeb8ff,"Ponni Sugars, Bannari Amman Sugars and Simbhaoli Sugars were the top losers.",business,Stock market update: Sugar shares fall; Ponni Sugars drops over 7%
5db0aec0f0a9b700adeeb900,"Shri Keshav Cements, Barak Valley Cements and Andhra Cements were the top losers.",business,Stock market update: Cement shares decline; Shri Keshav Cements slides 5%
5db0aec0f0a9b700adeeb901,The Nifty Metal index was trading 2.8 per cent down at 2329.85 around 01:56 pm,business,"Stock market update: Nifty Metal falls 3%; Vedanta, Hindalco top drags"
5db0aec0f0a9b700adeeb902,"The NSE Nifty50 index was trading 166.65 points down at 11,307.80.",business,Share market update: NBFC stocks slump; DHFL tanks 20%
5db0aec0f0a9b700adeeb903,Mayank conquers a peak and Rohit does his stuff before the bowlers make inroads,sports,India has South Africa on the mat
5db0aec0f0a9b700adeeb904,"Not on a chastening night for Liverpool’s defence. For the fifth time in Jurgen Klopp’s reign, they won 4-3. For only the second since February 2018.",sports,Forgotten flaws of Liverpool: Jurgen Klopp’s defence was made to look ordinary by Salzburg’s terrific attack
5db0aec0f0a9b700adeeb905,"Participants were treated to an enthralling entertainment programme and sumptous food at the Battle of Buffet, 2019, held in the city on Wednesday. The Battle of Buffet is an annual fundraising event",health,Battle of Buffet 2019 held
5db0aec0f0a9b700adeeb906,The new role is in addition to Khan’s existing responsibility of Sony Entertainment Television and Studio NEXT.,technology,Danish Khan to head SPN’s OTT service SonyLIV
5db0aec0f0a9b700adeeb907,"The demands on an enterprise’s IT department have never been tougher. As corporates aggressively move towards enhancing employee mobility, enabling remote network access, and sharing sensitive data over the internet, business risks are witnessing a sharp spik…",business,Enhancing The Security Footprint
5db0aec0f0a9b700adeeb908,Among the stocks that touched their 52-week lows were Grasim Industries and Indiabulls Real Estate.,business,Stock market update: 82 stocks hit 52-week lows on NSE
5db0aec0f0a9b700adeeb909,Among the stocks that touched their 52-week lows were Piramal Enterprises and Edelweiss Financial Services.,business,Stock market update: 150 stocks hit 52-week lows on NSE
5db0aec0f0a9b700adeeb90a,"Mawana Sugars, Triveni Engineering & Industries and Dhampur Sugar Mills were the top gainers.",business,Stock market update: Sugar stocks edge higher; Mawana Sugars jumps over 6%
5db0aec0f0a9b700adeeb90b,"Shri Keshav Cements, Andhra Cements and Star Cement were the top losers.",business,Stock market update: Cement shares decline; Shri Keshav Cement drops 5%
5db0aec0f0a9b700adeeb90c,The Nifty Media index was trading 0.28 per cent down at 1794.95 around 11:56 am.,business,Share market update: Media shares slip; Eros International falls 5%
5db0aec0f0a9b700adeeb90d,The Nifty IT was trading 0.56 per cent up at 15385.45,business,Stock market update: Most IT stocks trade higher; HCL Tech up nearly 3%
5db0aec0f0a9b700adeeb90e,"The Nifty Bank index was trading 0.56 per cent up at 28,573.7 around 09:55 am.",business,Stock market update: Bank shares climb; IndusInd Bank jumps over 2%
5db0aec0f0a9b700adeeb90f,"The Nifty Auto index was trading 0.43 per cent up at 7,525.9.",business,Stock market update: Auto stocks gain; Apollo Tyres rises 2%
5db0aec0f0a9b700adeeb910,"The Nifty Infrastructure index was trading 0.25 per cent up at 3,172.2.",business,Stock market update: Infra shares slump; Engineers India dips over 2%
5db0aec0f0a9b700adeeb911,The Nifty IT was trading 0.56 per cent up at 15385.45,business,Stock market update: Most IT stocks trade higher; HCL Tech up nearly 3%
5db0aec0f0a9b700adeeb912,The Reserve Bank of India is set to deliver a fifth straight interest rate cut Friday.,business,"Sensex gains 250 points, Nifty nears 11,400 ahead of RBI policy outcome"
5db0aec0f0a9b700adeeb913,YES Bank (Rs 1311.47 crore) was leading the pack of the most active stocks in value terms.,business,"Buzzing stocks: YES Bank, Vodafone Idea, SBI, Tata Motors, IndusInd Bank"
5db0aec0f0a9b700adeeb914,YES Bank (Rs 167.23 crore) was leading the pack of most active stocks in value terms.,business,"Buzzing stocks: YES Bank, Vodafone Idea, BPCL, SBI, HDFC Bank"
5db0aec0f0a9b700adeeb915,"The NSE Nifty50 index was trading 197.40 points down at 11,277.05.",business,Share market update: Fertilizer stocks down; Aries Agro falls 5%
5db0aec0f0a9b700adeeb916,The rate cut lifted investor sentiment and triggered short covering in the oversold stocks.,business,Largecap stocks may have just started a rally that will last years
5db0aec0f0a9b700adeeb917,The company has filed police complaint regarding hostile takeover.,business,"Stocks in the news: YES Bank, HDIL, Manpasand Beverages, Adani Green and NMDC"
5db0aec0f0a9b700adeeb918,State-owned construction firm NBCC has bagged a Rs 400-crore contract .,business,"Stocks in the news: YES Bank, Tata Comm, NBCC, DHFL and Cadila Healthcare"
5db0aec0f0a9b700adeeb919,"Indiatimes Mobile brings you the news, articles, stories and videos on entertainment, latest lifestyle, culture & new technologies emerging worldwide",technology,"Allyson Felix, The Woman Who Broke Usain Bolt's Record"
5db0aec0f0a9b700adeeb91a,"Indiatimes Mobile brings you the news, articles, stories and videos on entertainment, latest lifestyle, culture & new technologies emerging worldwide",technology,Annu Rani: India’s New Hope In Javelin
5db0aec0f0a9b700adeeb91b,"The show was loved by everyone and the performances were so stunning that during this year’s Emmy Awards, Waller-Bridge took home the awards for best writing for a comedy series and best actress for Fleabag.Talking about directing movies some day, Priyanka sa…",entertainment,"No Season 3 Of Fleabag, PC Talks About Directing Films And Other Top Entertainment Stories"
5db0aec0f0a9b700adeeb91c,Here is a happy news for all Rock fans! Hollywood star Dwayne Johnson aka The Rock is taking a trip back to WWE. The 47-year-old actor has announced that he will be returning to the entertainment sport for the debut of WWE Smackdown on Fox TV on Friday.,entertainment,Dwayne 'The Rock' Johnson Is All Set To Return To 'WWE Smackdown' For Fox Debut!
5db0aec0f0a9b700adeeb91d,"Boxing is one of the most violent and brutal sports one can watch. It's not always pleasing visually and can lead to serious injury or even death. Two people taking shots at each other in the ring may not be appealing to everyone, but it is a source of entert…",sports,Want To Be A Boxer? These 10 Exercises Will Get Into The Right Shape Before Entering The Ring
5db0aec0f0a9b700adeeb91e,"We are damn excited for this, Aishwarya Rai Bachchan who loves to experiments with her films and looks is all set to take up another challenge by voicing Maleficent in  Maleficent : Mistress Of Evil’s Hindi Version. The promo of Ash is already out and she is …",entertainment,Aishwarya Rai To Lend Her Voice In Angelina Jolie's Maleficent: Mistress Of Evil’s Hindi Version
5db0aec0f0a9b700adeeb91f,"Planning something this weekend? You can be aboard Costa Victoria, which will run between Mumbai and Kochi from November to March 2020. The itenary of the cruise includes three nights from Kochi to Maldives or seven nights from Maldives to Mumbai. Costa Victo…",sports,Costa Victoria Cruise Mumbai Maldives
5db0aec0f0a9b700adeeb920,"Ever since the hit comedy-drama wrapped up its second season in April, creator and star Waller-Bridge insisted that there would not be a third season, reported E! News. But in the wake of the show’s big wins at the 2019 Emmy Awards this month, Waller-Bridge h…",entertainment,"After 2 Successful Seasons Of Fleabag, Phoebe Waller-Bridge Will Do Season 3 When She Turns 50"
5db0aec0f0a9b700adeeb921,"How many of you have watched at least one episode of Bigg Boss ever? *Counting hand* Okay! Almost everyone! Bigg Boss has two kinds of audiences – one who hates the show and judges those who watch it and second, the ones who never admits but enjoys watching a…",entertainment,9 Reasons Why We Love Watching Bigg Boss & It Will Always Remain Our Biggest Guilty Pleasure!
5db0aec0f0a9b700adeeb922,"Two women filed a civil lawsuit against Hollywood actor James Franco on Thursday, accusing him of running a bogus film school where young women eager to advance their acting careers were duped into auditioning nude or shooting explicit sex scenes. The lawsuit…",entertainment,Two Women Accuse Actor James Franco Of Sexual Exploitation And Running Bogus Acting School
5db0aec0f0a9b700adeeb923,"Coming from a small village of Bhadohi in Uttar Pradesh, Rinku Singh's story from rags to riches is compelling, inspiring and a true testament of hard work paying dividends. A truck driver's son, who had to toil really hard and push the limits is now making w…",entertainment,"Meet Rinku Singh, The Son Of A Truck Driver From UP Who Is Making Waves In The WWE"
5db0aec0f0a9b700adeeb924,Article URL: https://www.ycombinator.com/topcompanies/ Comments URL: https://news.ycombinator.com/item?id=21136663 Points: 7 # Comments: 2,technology,Y Combinator Top Companies List 2019
5db0aec0f0a9b700adeeb925,"In Austria, the conservatives will have to seek common ground with political rivals",science,Difficult compromise: On Austria's snap election
5db0aec0f0a9b700adeeb926,India Business News: The Reserve Bank of India (RBI) is currently on a rate cutting spree as the central bank has reduced the repo rate -- the rate at which it lends to ba,business,Key takeaways from RBI's policy meet
5db0aec0f0a9b700adeeb927,"Pakistan’s already powerful military is taking an even greater role in running the country as the economy stumbles. Army chief Qamar Javed Bajwa has privately met top business leaders to find ways to bolster the economy, according to people familiar with the …",general,'Soft coup against Imran': Pak army chief holds meetings to fix economy
5db0aec0f0a9b700adeeb928,"For more than a century, Davar’s College of Commerce and Secretarial Studies and Practices at Fort has been an affirmative force behind the empowerment of Mumbai’s women.",ent_regional,#MumbaiMirrored: Unassuming heroes
5db0aec0f0a9b700adeeb929,"The viral photograph of Bihar deputy chief minister Sushil Kumar Modi, clad in shorts, surrounded by bag and baggage,  after his family was rescued on an inflatable lifeboat following flooding in Patna sums up the...",general,Quick Edit: Patna floods must alarm all Indian cities
5db0aec0f0a9b700adeeb92a,The father-son duo of Rakesh and Sarang (Sunny) Wadhawan were among the most powerful and politically connected builders during the Congress-NCP rule. Their fortunes rose around the time the property market was beginning to heat up in 2003.,general,"Rise and fall of HDIL's promoters, once toast of Mumbai party circuit"
5db0aec0f0a9b700adeeb92b,"Joy Thomas, the suspended managing director of Punjab and Maharashtra Cooperative (PMC) Bank, was arrested in the Rs 4,355-crore cheating case involving the bank on Friday. PMC Bank was placed under restrictions by the RBI on September 25 after it emerged tha…",business,"After HDIL promoters, ex-MD of PMC Bank arrested"
5db0aec0f0a9b700adeeb92c,"The day’s slide in banking and NBFC stocks started after market players got a hint that Rana Kapoor, the main promoter of troubled lender Yes Bank sold a large chunk in the open market. This was aggravated by social media posts about failed online transaction…",business,"Banks, NBFCs pull down market, sensex down 362pts"
5db0aec0f0a9b700adeeb92d,US & Canada News News: WASHINGTON: A tech executive of Indian-origin was kidnapped from his home on the Pacific Ocean front in California on Tuesday and was found dead hours.,general,US: Kidnapped Indian-American techie found dead
5db0aec0f0a9b700adeeb92e,"It is unclear what, if any, assessment investigators have made of the complaint. The complaint, filed after the two crashes, builds on concerns about Boeing’s corporate culture, as the company tries to repair its reputation and get the planes flying again.",technology,‘Boeing 737 Max safety ignored’
5db0aec0f0a9b700adeeb92f,"There are $63 billion of stalled residential projects across the country, according to Anarock Property Consultants, and their developers have become locked in a downward spiral with shadow banks. As lenders stop new credit, builders are forced to offload pro…",business,$63bn of zombie buildings sound warning for banks
5db0aec0f0a9b700adeeb930,Initiative to help develop core business activities of NLCIL,health,"NLCIL, Anna University team up for incubation centre"
5db0aec0f0a9b700adeeb931,It will be built at a cost of ₹266 cr.; classes may start from next academic year,business,CM unveils plaque for construction of govt. medical college at Eluru
5db0aec0f0a9b700adeeb932,Shibu alleges corruption in sale of shares in Kannur International Airport Limited,business,"Kodiyeri, Kappan accused of financial intrigue"
5db0aec0f0a9b700adeeb933,Many areas remain inundated after a week,general,Death toll in Bihar floods soars to 73
5db0aec0f0a9b700adeeb934,"Kashmir Valley showed some signs of normalcy on Thursday, with massive traffic jams witnessed in summer capital Srinagar and some shops opening in the city in the morning hours. However, the governmen",general,"Massive traffic jams in Srinagar, some shops open in morning hours"
5db0aec0f0a9b700adeeb935,"Fake news is more dangerous than paid news and there is need for the government and the media to combat it jointly, Information and Broadcasting Minister Prakash Javadekar said on Thursday. The govern",general,Fake news more dangerous than paid news: I&B Minister Javadekar
5db0aec0f0a9b700adeeb936,"‘In India, nationalism is not a negative sentiment directed at the world’",entertainment,Entire neighbourhood ‘minus one’ has been a good story: Jaishankar
5db0aec0f0a9b700adeeb937,"Employers added a total of 136,000 net new positions",business,US unemployment falls to 50-year low of 3.5% in September
5db0aec0f0a9b700adeeb938,Office workers and high-school students took to the streets in protest against the police action,general,Anger mounts in Hong Kong after teen shot at
5db0aec0f0a9b700adeeb939,"Britain&#39;s economy appears to have tipped into recession as firms brace for the risk of a disruptive Brexit in just a few weeks&#39; time, according to a survey which showed the dominant services s",business,UK economy headed for recession after services shrink unexpectedly: PMI
5db0aec0f0a9b700adeeb93a,"Tune in now! Your daily digest of market news, views and cues.",health,Morning Podcast: Let's talk business & markets
5db0aec0f0a9b700adeeb93b,"NSA gets teeth, NSCS put in govt business rulesNSCS enumerated right after NITI at number 50 in the first schedule of the AOB rules.",business,"NSA gets teeth, NSCS put in govt business rules"
5db0aec0f0a9b700adeeb93c,Tune in now for your daily dose of business news.,business,Podcast: What might shake & move your market
5db0aec0f0a9b700adeeb93d,Ashok Leyland domestic sales dip 57% in SeptAshok Leyland said in its release that its domestic business in terms of volumes dropped 57% to 7851 units.,business,Ashok Leyland domestic sales dip 57% in Sept
5db0aec0f0a9b700adeeb93e,"“The guidelines will ensure details of the scrapped vehicles are linked with VAHAN (transport ministry vehicle database),"" said the official, “This will ensure ease of doing business.”",business,Vehicle scrapping draft norms to be out this month
5db0aec0f0a9b700adeeb93f,"“We intend to finalise all these administrative strategies in the next six months so that the merged entity can focus on business from the very beginning,” Pradhan told ET.",business,New merged banks to copy SBI model
5db0aec0f0a9b700adeeb940,"The crisis at Mumbai-based PMC Bank has again brought co-operative banks into the limelight. ET demystifies the cooperative bank business in India, where these banks have a disproportionate presence among the unbanked and the under-banked",business,Should depositors worry about co-operative banks?
5db0aec0f0a9b700adeeb941,"All right conditions exist with a strong policy driven government both at the centre and states, DPIIT Secretary Guruprasad Mohapatra said.",general,Favourable conditions exist to achieve $5 trillion economy target: Official
5db0aec0f0a9b700adeeb942,"Don't panic, Indian banks are safe: RBI governorAppealing depositors to not worry, RBI governor said it wont allow any co-operative bank to collapse.",business,"Don't panic, Indian banks are safe: RBI governor"
5db0aec0f0a9b700adeeb943,Friday's survey adds to the deepening gloom around businesses and consumers.,business,India's services sector slips to a 19-month low in September: PMI
5db0aec0f0a9b700adeeb944,The funds will be utilised to repay the outstanding loans to group companies.,business,Religare to sell NBFC arm to TCG Advisory for Rs 330 crore
5db0aec0f0a9b700adeeb945,"The military, which has staged numerous coups since Pakistan’s founding in 1947, has seen a direct impact from the economic slowdown.",general,Pakistan’s army chief holds private meetings to shore up economy
5db0aec0f0a9b700adeeb946,"Are streaming services killing multiplexes?While some see OTT as a substitute, it is equally true that OTT is also driving people to the multiplexes.",technology,Are streaming services killing multiplexes?
5db0aec0f0a9b700adeeb947,"India now has an enlarged global profile: WEF prezSteered by a ""decisive leadership"", Brende said, India is ""rising to the occasion"" through a significantly enlarged global profile.",business,India now has an enlarged global profile: WEF prez
5db0aec0f0a9b700adeeb948,"On Sept 30, the government announced a 12.5% reduction in domestic natural gas price to USD 3.23 mmBtu.",business,Gas price cut credit negative for ONGC: Moody's
5db0aec0f0a9b700adeeb949,"I am more optimistic now than maybe I was three months ago, says Edelweiss chairman.",business,Edelweiss real estate exposure only 20%: Rashesh Shah
5db0aec0f0a9b700adeeb94a,"IRCTC has set IPO has a price band of Rs 315-320 per share. At the upper price band, the stock is available at P/E multiple of 18.8 times to its FY19 EPS of Rs 17.",business,IRCTC IPO subscribed 15 times so far on Day 3
5db0aec0f0a9b700adeeb94b,Corporate tax cut benefit has gone to wrong companies. They are not going to invest in this country.,business,Worry about getting money to people who need it
5db0aec0f0a9b700adeeb94c,Most analysts forecast one more cut of 15 bps in December.,business,RBI set to cut rates again as fiscal measures fail to cheer
5db0aec0f0a9b700adeeb94d,"RBI would like to assure the general public that Indian banking system is safe and stable and there is no need to panic on the basis of such rumours,"" the RBI said in a tweet.",business,"Amid PMC crisis, RBI says Indian banking system stable"
5db0aec0f0a9b700adeeb94e,More than 40-45 years of slack has led to the current levels of skilling in our country.,business,"Hirings should revive in a month, says Teamlease CFO"
5db0aec0f0a9b700adeeb94f,The timing of Khan’s visit can cast a shadow over Xi Jinping’s visit to India.,entertainment,China to host Khan on October 8 ahead of Xi’s India visit
5db0aec0f0a9b700adeeb950,The stock ended down 2 per cent at Rs 25.3 after hitting a 52-week low of Rs 23.6 intraday.,business,Future Consumer hits 52-week low after downgrade
5db0aec0f0a9b700adeeb951,"On Tuesday, the 30-share Sensex slipped 362 points or 0.94 per cent to end at 38,305.",business,Stock market shut on account of Gandhi Jayanti
5db0aec0f0a9b700adeeb952,US stocks also rose Thursday on expectations of further Fed rate cuts.,business,Fed 'open' to rate cut as risks to outlook rise
5db0aec0f0a9b700adeeb953,"Korean handset maker Samsung has launched the world’s first foldable smartphone, Galaxy Fold in India at Rs 1,64,999.",technology,"Samsung claims 72% premium market share in August; launches India’s costliest phone, Galaxy Fold"
5db0aec0f0a9b700adeeb954,The Ind-Ra report provides a sector-wise break-up of the tax savings accruing on account of the tax cut.,general,Corporate tax cuts only will not stimulate private capex: Ind-Ra
5db0aec0f0a9b700adeeb955,"Tech firm will make strategic bets in sectors like Cloud, digital engineering, data and IoT.",business,Cognizant CEO Brian Humphries wants bellwether tag back
5db0aec0f0a9b700adeeb956,"Top 1,000 listed entities will save up to Rs 65,000 crore which will include Rs 9,000 crore savings to banks and Rs 6,000 crore to the struggling non-banks.",business,"Corporate tax cut to help top 1000 firms to save Rs 65,000 crore"
5db0aec0f0a9b700adeeb957,"US gold futures were down 0.1 per cent at $1,506.4 an ounce.",business,Gold rises as US data fuels slowdown worries
5db0aec0f0a9b700adeeb958,Air India launches 'Namaskar Sewa' at Delhi airport'Namaskar Sewa' is a meet and greets service wherein Air India staff will take care of passengers from the airport entry gate to till being passengers board in the aircraft.,general,Air India launches 'Namaskar Sewa' at Delhi airport
5db0aec0f0a9b700adeeb959,"Low interest regime is extremely bullish for gold. I see gold prices at $2,500-3,000.",business,"Next 5 yrs, I would buy both gold and equities: Jhunjhunwala"
5db0aec0f0a9b700adeeb95a,Climate change research hasn't previously been a major focus at the Fed.,business,"US Fed charts its own course on climate change, too"
5db0aec0f0a9b700adeeb95b,No onions in B'desh PM's kitchen after export banThe Bangladeshi prime minister said that India's sudden decision to stop onion exports has lead to a bit of difficulty for her countrymen.,general,No onions in B'desh PM's kitchen after export ban
5db0aec0f0a9b700adeeb95c,Markets plunge sharply: RBI and other factors that led to itRBI slashed FY20 GDP growth forecast sharply to 6.1 per cent from 6.9 per cent.,business,Markets plunge sharply: RBI and other factors that led to it
5db0aec0f0a9b700adeeb95d,Banks and mutual funds suddenly woke up to the risks of lending to these companies.,business,The Skeptic: Review NBFC asset quality to build confidence
5db0aec0f0a9b700adeeb95e,"Addressing the convocation of prestigious IIT-Roorkee, President Ram Nath Kovind termed the institute an ""innovation hub""",general,"Research, innovation to help country achieve 5 trillion economy: Prez"
5db0aec0f0a9b700adeeb95f,Gold is considered a safe store of value during economic and political uncertainty.,business,Gold gains on soft US service sector data
5db0aec0f0a9b700adeeb960,"The Mumbai-based developer has completed 2 million sq ft office space valuing Rs 2,000 crore. It recently sold office properties worth Rs 1,350 crore.",business,Lodha developing Rs 13K cr commercial assets; may launch REIT
5db0aec0f0a9b700adeeb961,We like the ones in power sector like Power Grid and PTC and REC among others,business,Why Pashupati Advani is betting on power PSUs
5db0aec0f0a9b700adeeb962,Our deeper penetration and multi-product approach help us grow.,business,"Demand to pick up, H2 will be good: Ramesh Iyer"
5db0aec0f0a9b700adeeb963,"Festive season fails to lift passenger vehicle salesThe country's largest carmaker Maruti Suzuki India said its domestic sales declined by 26.7 per cent at 1,12,500 units last month as against 1,53,550 units in September 2018.",business,Festive season fails to lift passenger vehicle sales
5db0aec0f0a9b700adeeb964,"RBI cuts repo rate for the fifth time, slashes growth estimatesIt was in addition to a cumulative 110 bps rate cut that RBI has announced so far this year.",business,"RBI cuts repo rate for the fifth time, slashes growth estimates"
5db0aec0f0a9b700adeeb965,"According to the swap ratio, LVB shareholders will receive 14 shares of Indiabulls Housing for 100 shares in LVB.",business,Lakshmi Vilas Bank swap ratio not to change
5db0aec0f0a9b700adeeb966,Gill took analyst questions and repeated that the bank is on recovery mode.,business,YES Bank gains 33% after CEO dispels concerns
5db0aec0f0a9b700adeeb967,"Fyrwald, who was at Eluru to inaugurate a facility for product testing and development, said India is a critical market for Syngenta.",business,We want up to 10% of Syngenta revenue to come from India: CEO J Erik Fyrwald
5db0aec0f0a9b700adeeb968,"""We do think that there is no structural reason why there can't be one pretty quickly. We know each other's issues,"" US Secretary of Commerce Wilbur Ross s",sports,India-US trade deal will happen 'pretty quickly': US
5db0aec0f0a9b700adeeb969,"S Jaishankar visits 7 thinktanks in 7 daysS Jaishankar is jousting with Washington DC’s most prestigious talk shops: Carnegie Endowment for International Peace, Atlantic Council, Center for Strategic & International Studies, The Brookings Institution, and the…",health,S Jaishankar visits 7 thinktanks in 7 days
5db0aec0f0a9b700adeeb96a,Treasury yields plummeted and US stocks swung to losses on the report.,business,US factory gauge hits a 10-year low as global slowdown widens
5db0aec0f0a9b700adeeb96b,"Even if RBI does cut the rate, transmission is unlikely to happen.",business,Why Abhimanyu Sofat is bullish on these 4 stocks
5db0aec0f0a9b700adeeb96c,There are $63 billion of stalled residential projects across the country.,business,$63 billion of zombie buildings sound warning for Indian banks
5db0aec0f0a9b700adeeb96d,Here is breaking down the pre-market actions.,health,What changed for Street while you were sleeping
5db0aec0f0a9b700adeeb96e,"It is unfair to say that the entire sector is under severe strain, says the fund manager.",business,Pockets of opportunity in financials: Kotak AMC
5db0aec0f0a9b700adeeb96f,"Once the capital is here, we should very comfortably be growing in the 20s.",business,YES Bank to raise capital after prices correct: CEO
5db0aec0f0a9b700adeeb970,In another six months the base effect will start kicking in for revival in consumption demand,business,"Buy largecap banks, be agnostic to valuation: Sridhar Sivaram"
5db0aec0f0a9b700adeeb971,The Mumbai Police on Monday filed a case against the former bank management and promoters of HDIL in the Punjab and Maharashtra Cooperative (PMC) Bank case and said a special investigation team would be probing the case,business,PMC Bank crisis: HDIL says loans taken after giving ‘adequate security’ cover
5db0aec0f0a9b700adeeb972,NTT creates a single entity that manages business worth $11bn,business,NTT Inc merges all its tech firms globally
5db0aec0f0a9b700adeeb973,"Parle Products, which had discontinued the hard-boiled candy with cola flavour in 2006 during a product rationalisation process, is bringing the brand back based on consumer response on social media.",business,"Parle to bring back Rol.a.Cola, eyes ₹100 crore sales in first year"
5db0aec0f0a9b700adeeb974,"The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More",general,"Cartoonscape — October 4, 2019"
5db0aec0f0a9b700adeeb975,"The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More",general,"Cartoonscape — October 2, 2019"
5db0aec0f0a9b700adeeb976,"The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More",general,"Cartoonscape — October 3, 2019"
5db0aec0f0a9b700adeeb977,‘List or trade in India’ should be used as a strategic policy tool to enable Indians to become shareholders in MNCs,business,The brick and mortar of FDI 2.0
5db0aec0f0a9b700adeeb978,The role of incubators is crucial in the wider business ecosystem in India. They are integral to the shaping up process of the Indian startup network.,business,How incubators are disrupting the Indian agri-tech startup landscape - Economic Times
5db0aec0f0a9b700adeeb979,‘Various factors have resulted in poor business’,business,Business yet to gain momentum at Gani Market in Erode
5db0aec0f0a9b700adeeb97a,Initiative to help develop core business activities of NLCIL,health,"NLCIL, Anna University team up for incubation centre"
